TC_ID,Section,Sub_Section,Test_Case_Title,Description,Pre_Conditions,Test_Steps,Expected_Result,Priority,Test_Type,Risk_Level
CC_NAVT_008,NAV Tab,Statistics,Filter by failed status,Verify failed filter works,Failed downloads exist,"1. Click 'Failed Downloads' card
2. Check list",Only schemes with failed status shown,P1,Functional,Low
CC_NAVT_009,NAV Tab,Statistics,Filter by no-data status,Verify no-data filter works,Schemes without data exist,"1. Click 'No NAV Data' card
2. Check list",Only schemes without historical data shown,P1,Functional,Low
CC_NAVT_010,NAV Tab,Statistics,Filter by metrics pending,Verify metrics filter works,Schemes needing metrics exist,"1. Click 'Metrics Pending' card
2. Check list",Only schemes with data but no metrics shown,P1,Functional,Low
CC_NAVT_011,NAV Tab,Scheme List,Display scheme cards,Verify scheme cards render correctly,Schemes exist and filter applied,"1. Click any stat card
2. Observe scheme cards",EnhancedBookmarkCard displays for each scheme,P1,Functional,Low
CC_NAVT_012,NAV Tab,Scheme List,Scheme card info display,Verify card shows all required info,Scheme card visible,"1. Check scheme card content
2. Verify fields",Shows: Scheme name AMC Category Latest NAV date Status badge,P1,Functional,Low
CC_NAVT_013,NAV Tab,Scheme List,Download NAV button,Verify individual download button works,Scheme card visible,"1. Find 'Download NAV' button
2. Click button",Download triggered toast shows success/failure,P1,Functional,Medium
CC_NAVT_014,NAV Tab,Scheme List,View Details link,Verify view details navigates correctly,Scheme card visible,"1. Click 'View Details' link
2. Observe navigation",Navigates to scheme details page,P2,Functional,Low
CC_NAVT_015,NAV Tab,Scheme List,Historical Download modal,Verify historical download modal opens,Scheme card visible,"1. Click 'Historical Download' button
2. Observe modal",Modal opens with date range selection,P2,Functional,Low
CC_NAVT_016,NAV Tab,Scheme List,Calculate Metrics modal,Verify metrics calculation modal opens,Scheme card visible,"1. Click 'Calculate Metrics' button
2. Observe modal",Modal opens for metrics calculation,P2,Functional,Low
CC_NAVT_017,NAV Tab,Download All,Download All button visible,Verify Download All button displays,Schemes available,"1. Navigate to NAV tab
2. Find Download All button",Button visible in header area,P1,Functional,Low
CC_NAVT_018,NAV Tab,Download All,Download All triggers bulk job,Verify bulk download works,Multiple pending schemes,"1. Click 'Download All' button
2. Observe behavior",Bulk NAV download job starts shows progress,P1,Functional,High
CC_NAVT_019,NAV Tab,Download All,Download All disabled when empty,Verify button disabled when no schemes,No schemes available,"1. Check Download All button state
2. Observe disabled state",Button disabled with appropriate tooltip,P2,Functional,Low
CC_NAVT_020,NAV Tab,Download All,Loading spinner during download,Verify spinner shows during download,Download in progress,"1. Trigger Download All
2. Observe button state",Loading spinner replaces button text,P2,UI,Low
CC_NAVT_021,NAV Tab,Pagination,Page size 25 items,Verify 25 items per page,More than 25 schemes,"1. Apply filter with >25 results
2. Count items on page",25 items displayed per page,P2,Functional,Low
CC_NAVT_022,NAV Tab,Pagination,Showing X-Y of Z display,Verify pagination info correct,"Multiple pages exist,"1. Check pagination area
2. Verify count text",Shows 'Showing 1-25 of 100' format,P2,Functional,Low
CC_NAVT_023,NAV Tab,Pagination,Next page navigation,Verify next button works,Multiple pages exist,"1. Click Next button
2. Observe list",Page 2 items load,P1,Functional,Low
CC_NAVT_024,NAV Tab,Pagination,Previous page navigation,Verify previous button works,On page 2+,"1. Click Previous button
2. Observe list",Previous page items load,P1,Functional,Low
CC_NAVT_025,NAV Tab,Pagination,Scroll to top on page change,Verify smooth scroll on pagination,Multiple pages,"1. Scroll down on page 1
2. Click Next",Page scrolls smoothly to top (y:300),P3,UI,Low
CC_NAVT_026,NAV Tab,Close Button,Close returns to statistics,Verify close button works,Viewing filtered list,"1. Click Close button
2. Observe view",Returns to statistics view,P2,Functional,Low
CC_NAVT_027,NAV Tab,Loading,Loading state display,Verify loading state shows,Fresh tab load,"1. Navigate to NAV tab
2. Observe during load",Loading spinner or skeleton displays,P2,UI,Low
CC_NAVT_028,NAV Tab,Empty State,No schemes empty state,Verify empty state message,No schemes in filter,"1. Apply filter with no results
2. Observe display",Empty state message displayed,P2,Functional,Low
CC_NAVT_029,NAV Tab,Error,Failed load error display,Verify error handling,API returns error,"1. Simulate API failure
2. Observe display",Error banner with retry button,P1,Functional,Medium
CC_NAVT_030,NAV Tab,Auto-refresh,Stats refresh on mount,Verify statistics auto-refresh,Component mounted,"1. Navigate away then back
2. Check stats",Statistics refreshed with latest data,P2,Functional,Low
CC_MKT_001,Market Tab,Statistics,Display 5 statistics cards,Verify all stat cards display,Market indices exist,"1. Navigate to Market tab
2. Check statistics section",5 cards: Total Indices Completed Pending>1Day Failed Metrics Pending,P1,Functional,Low
CC_MKT_002,Market Tab,Statistics,Total Indices count,Verify total count accurate,Indices configured,"1. Check Total Indices card
2. Compare with database",Count matches active market indices,P1,Functional,Low
CC_MKT_003,Market Tab,Statistics,Download Completed count,Verify completed count,Some indices downloaded today,"1. Check Download Completed card
2. Verify against today's downloads",Count matches indices downloaded today,P1,Functional,Low
CC_MKT_004,Market Tab,Statistics,Pending >1 Day count,Verify stale data count,Some indices with old data,"1. Check Pending >1 Day card
2. Compare with stale indices",Count matches indices with data >1 day old,P1,Functional,Low
CC_MKT_005,Market Tab,Statistics,Failed Downloads count,Verify failed count,Some downloads failed,"1. Check Failed Downloads card
2. Compare with failed records",Count matches indices with failed status,P1,Functional,Low
CC_MKT_006,Market Tab,Index Cards,Display index cards,Verify index cards render,Indices exist,"1. Navigate to Market tab
2. Observe index cards",IndexCard displays for each market index,P1,Functional,Low
CC_MKT_007,Market Tab,Index Cards,Card info display,Verify card shows all info,Index card visible,"1. Check index card content
2. Verify fields",Shows: Index name Symbol Exchange Latest EOD date Status,P1,Functional,Low
CC_MKT_008,Market Tab,Index Cards,Download EOD button,Verify EOD download works,Index card visible,"1. Click 'Download EOD' button
2. Observe result",EOD download triggers shows success/failure toast,P1,Functional,Medium
CC_MKT_009,Market Tab,Index Cards,View Chart button,Verify chart navigation,Index card visible,"1. Click 'View Chart' button
2. Observe action",Opens chart modal or navigates to chart page,P2,Functional,Low
CC_MKT_010,Market Tab,Index Cards,Delete Data button placeholder,Verify delete button state,Index card visible,"1. Click 'Delete Data' button
2. Observe behavior",Shows 'Coming Soon' message or disabled,P3,Functional,Low
CC_MKT_011,Market Tab,Filters,All filter shows all indices,Verify all filter,Indices exist,"1. Select 'All' filter
2. Check list",All indices displayed,P1,Functional,Low
CC_MKT_012,Market Tab,Filters,Pending filter works,Verify pending filter,Stale indices exist,"1. Select 'Pending' filter
2. Check list",Only indices with last_date < yesterday shown,P1,Functional,Low
CC_MKT_013,Market Tab,Filters,Failed filter works,Verify failed filter,Failed indices exist,"1. Select 'Failed' filter
2. Check list",Only indices with failed status shown,P1,Functional,Low
CC_MKT_014,Market Tab,Filters,No-data filter works,Verify no-data filter,Indices without data exist,"1. Select 'No Data' filter
2. Check list",Only indices without historical data shown,P1,Functional,Low
CC_MKT_015,Market Tab,Loading,Loading state display,Verify loading indicator,Fresh tab load,"1. Navigate to Market tab
2. Observe during load",Loading spinner displays,P2,UI,Low
CC_MKT_016,Market Tab,Empty State,No indices message,Verify empty state,No indices match filter,"1. Apply filter with no results
2. Observe display",Empty state message shown,P2,Functional,Low
CC_MKT_017,Market Tab,Error,API error handling,Verify error display,API returns error,"1. Simulate API failure
2. Observe display",Error message with retry option,P1,Functional,Medium
CC_ALT_001,Alerts Tab,Layout,Two-column grid layout,Verify compact grid layout,Alerts exist,"1. Navigate to Alerts tab
2. Observe layout",2-column responsive grid of alert cards,P2,UI,Low
CC_ALT_002,Alerts Tab,Filters,Display filter tabs,Verify 4 filter tabs exist,On Alerts tab,"1. Check filter tabs
2. Count options",4 tabs: All Active Acknowledged Dismissed,P1,Functional,Low
CC_ALT_003,Alerts Tab,Filters,Active filter default,Verify Active is default selection,Fresh tab load,"1. Navigate to Alerts tab
2. Check selected filter",Active filter selected by default,P1,Functional,Low
CC_ALT_004,Alerts Tab,Filters,Filter shows count badge,Verify count shows on filter tabs,Alerts exist,"1. Check filter tab badges
2. Verify counts",Each tab shows count of alerts in that status,P1,Functional,Low
CC_ALT_005,Alerts Tab,Filters,All filter shows all alerts,Verify All filter works,Various alert statuses,"1. Click 'All' filter
2. Check list",All alerts regardless of status shown,P1,Functional,Low
CC_ALT_006,Alerts Tab,Filters,Active filter works,Verify Active filter,Active alerts exist,"1. Click 'Active' filter
2. Check list",Only active alerts shown,P1,Functional,Low
CC_ALT_007,Alerts Tab,Filters,Acknowledged filter works,Verify Acknowledged filter,Acknowledged alerts exist,"1. Click 'Acknowledged' filter
2. Check list",Only acknowledged alerts shown,P1,Functional,Low
CC_ALT_008,Alerts Tab,Filters,Dismissed filter works,Verify Dismissed filter,Dismissed alerts exist,"1. Click 'Dismissed' filter
2. Check list",Only dismissed alerts shown,P1,Functional,Low
CC_ALT_009,Alerts Tab,Alert Cards,Card layout correct,Verify card displays all info,Alert exists,"1. Check alert card
2. Verify sections",Left: Customer/Title/Date Right: Action buttons,P1,Functional,Low
CC_ALT_010,Alerts Tab,Alert Cards,Customer name clickable,Verify customer link works,Alert with customer,"1. Click customer name
2. Observe navigation",Navigates to customer view page,P1,Functional,Low
CC_ALT_011,Alerts Tab,Alert Cards,Alert title display,Verify title shows with icon,Alert exists,"1. Check alert title
2. Verify icon",Title displays with appropriate type icon,P1,Functional,Low
CC_ALT_012,Alerts Tab,Alert Cards,Status badge display,Verify status badge for non-active,Acknowledged/Dismissed alert,"1. Find acknowledged alert
2. Check badge",Shows DONE or DISMISSED badge,P2,UI,Low
CC_ALT_013,Alerts Tab,Alert Cards,Next alert date formatting,Verify date format,Alert with next_alert_date,"1. Check next alert date
2. Verify format",Shows: Today Tomorrow Mon 15 Nov etc.,P2,Functional,Low
CC_ALT_014,Alerts Tab,Alert Cards,Priority badge color,Verify priority colors,Alerts with various priorities,"1. Check priority badges
2. Verify colors",Critical=Red High=Orange Medium=Yellow Low=Blue,P2,UI,Low
CC_ALT_015,Alerts Tab,Alert Types,Portfolio Alert icon,Verify Portfolio Alert displays correctly,Portfolio alert exists,"1. Find Portfolio Alert
2. Check icon and label",💰 Investment Due icon and label,P2,UI,Low
CC_ALT_016,Alerts Tab,Alert Types,Goal SIP Plan icon,Verify Goal SIP displays correctly,Goal SIP alert exists,"1. Find Goal SIP alert
2. Check display",💰 Recurring Investment Due label,P2,UI,Low
CC_ALT_017,Alerts Tab,Alert Types,Time-Based alert icon,Verify Time-Based displays correctly,Time-based alert exists,"1. Find Time-Based alert
2. Check display",📅 One-time or 🔔 Recurring Reminder,P2,UI,Low
CC_ALT_018,Alerts Tab,Alert Types,Profile Trigger icon,Verify Profile Trigger displays,Birthday/Anniversary alert exists,"1. Find Profile Trigger alert
2. Check display",🎂 Birthday or 💑 Anniversary icon,P2,UI,Low
CC_ALT_019,Alerts Tab,Alert Types,Import Notification icon,Verify Import Notification displays,Import notification exists,"1. Find Import Notification
2. Check display",🆕 New MF Added or ⏭️ Duplicate Skipped,P2,UI,Low
CC_ALT_020,Alerts Tab,Actions,Acknowledge button visible,Verify acknowledge button for active,Active alert,"1. Find active alert
2. Check action buttons",Green ✓ acknowledge button visible,P1,Functional,Low
CC_ALT_021,Alerts Tab,Actions,Dismiss button visible,Verify dismiss button for active,Active alert,"1. Find active alert
2. Check action buttons",Gray ✗ dismiss button visible,P1,Functional,Low
CC_ALT_022,Alerts Tab,Actions,Acknowledge alert,Verify acknowledge action works,Active alert exists,"1. Click acknowledge button
2. Observe changes",Alert status changes to acknowledged toast shown,P1,Functional,Medium
CC_ALT_023,Alerts Tab,Actions,Dismiss alert,Verify dismiss action works,Active alert exists,"1. Click dismiss button
2. Observe changes",Alert status changes to dismissed toast shown,P1,Functional,Medium
CC_ALT_024,Alerts Tab,Actions,Actions hidden for non-active,Verify no actions for acknowledged/dismissed,Non-active alert,"1. Find acknowledged alert
2. Check right section",No action buttons shown,P2,Functional,Low
CC_ALT_025,Alerts Tab,Empty State,Active empty state message,Verify empty message for active,No active alerts,"1. Check Active filter with no alerts
2. Observe message",🎉 'All caught up! No alerts require attention',P2,UI,Low
CC_ALT_026,Alerts Tab,Empty State,Other tabs empty message,Verify empty for other filters,No alerts in filter,"1. Check other filter with no alerts
2. Observe message",📭 'No {status} alerts found',P2,UI,Low
CC_ALT_027,Alerts Tab,Loading,Skeleton loaders display,Verify loading state,Fresh tab load,"1. Navigate to Alerts tab
2. Observe during load",6 skeleton placeholder cards with pulse animation,P2,UI,Low
CC_ALT_028,Alerts Tab,Refresh,Refresh button works,Verify manual refresh,On Alerts tab,"1. Click refresh button
2. Observe list",Alerts list refreshes with latest data,P2,Functional,Low
CC_ALT_029,Alerts Tab,Error,Error state display,Verify error handling,API returns error,"1. Simulate API failure
2. Observe display",Error message displayed,P1,Functional,Medium
CC_ALT_030,Alerts Tab,Responsive,Grid responsive on mobile,Verify single column on mobile,Mobile viewport,"1. Resize to mobile
2. Check grid",Single column layout on mobile,P2,UI,Low
CC_PS_001,Portfolio Snapshots Tab,Dashboard,Display 4 statistics cards,Verify dashboard stats cards,Executions exist,"1. Navigate to Portfolio Snapshots tab
2. Check top section",4 cards: Last Run Next Scheduled Success Rate Total Executions,P1,Functional,Low
CC_PS_002,Portfolio Snapshots Tab,Dashboard,Last Run card info,Verify last run details,Previous execution exists,"1. Check Last Run card
2. Verify content",Shows date/time with status badge (Success/Failed),P1,Functional,Low
CC_PS_003,Portfolio Snapshots Tab,Dashboard,Last Run status badge color,Verify status badge colors,Executions exist,"1. Check Last Run status badge
2. Verify color",Green for success Red for failed,P2,UI,Low
CC_PS_004,Portfolio Snapshots Tab,Dashboard,Next Scheduled card,Verify next scheduled time,Scheduler enabled,"1. Check Next Scheduled card
2. Verify content",Shows next execution date/time,P1,Functional,Low
CC_PS_005,Portfolio Snapshots Tab,Dashboard,Next Scheduled disabled state,Verify disabled scheduler display,Scheduler disabled,"1. Check Next Scheduled when disabled
2. Observe display",Shows 'Disabled' or 'Not Scheduled' message,P2,Functional,Low
CC_PS_006,Portfolio Snapshots Tab,Dashboard,Success Rate percentage,Verify success rate calculation,Multiple executions exist,"1. Check Success Rate card
2. Verify calculation",Percentage = (successful / total) * 100,P1,Functional,Low
CC_PS_007,Portfolio Snapshots Tab,Dashboard,Total Executions count,Verify total and average duration,Executions exist,"1. Check Total Executions card
2. Verify content",Shows count + average duration,P1,Functional,Low
CC_PS_008,Portfolio Snapshots Tab,Scheduler Config,Display scheduler configuration,Verify config section displays,Config exists,"1. Scroll to scheduler config
2. Check display",Shows: Schedule Type Cron Expression Enabled status,P2,Functional,Low
CC_PS_009,Portfolio Snapshots Tab,Scheduler Config,Schedule type display,Verify schedule type shows,Config exists,"1. Check Schedule Type
2. Verify value",Shows Weekly/Monthly/Custom,P2,Functional,Low
CC_PS_010,Portfolio Snapshots Tab,Scheduler Config,Cron expression display,Verify cron shows,Config exists,"1. Check Cron Expression
2. Verify display",Cron expression visible,P2,Functional,Low
CC_PS_011,Portfolio Snapshots Tab,Scheduler Config,Is Enabled toggle display,Verify enabled status,Config exists,"1. Check Is Enabled
2. Verify display",Toggle or badge showing enabled/disabled,P2,Functional,Low
CC_PS_012,Portfolio Snapshots Tab,Scheduler Config,Execution count display,Verify execution count,Config exists,"1. Check Execution Count
2. Verify value",Matches total executions for this config,P2,Functional,Low
CC_PS_013,Portfolio Snapshots Tab,Scheduler Config,Failure count display,Verify failure count,Config exists,"1. Check Failure Count
2. Verify value",Matches failed executions count,P2,Functional,Low
CC_PS_014,Portfolio Snapshots Tab,Operations Button,Dropdown button visible,Verify operations dropdown exists,On Portfolio Snapshots tab,"1. Find Snapshot Operations button
2. Verify presence",Single dropdown button with arrow visible,P1,Functional,Low
CC_PS_015,Portfolio Snapshots Tab,Operations Button,Dropdown opens on click,Verify dropdown opens,Operations button visible,"1. Click operations button
2. Observe dropdown",Dropdown menu opens with 4 options,P1,Functional,Low
CC_PS_016,Portfolio Snapshots Tab,Operations Button,4 operations listed,Verify all 4 operations available,Dropdown open,"1. Check dropdown options
2. Count items",4 items: Generate Missing Update All Regenerate All Drop All,P1,Functional,Low
CC_PS_017,Portfolio Snapshots Tab,Operations Button,Operation icons correct,Verify each operation has icon,Dropdown open,"1. Check each option icon
2. Verify icons",➕ Generate 🔄 Update ♻️ Regenerate 🗑️ Drop,P2,UI,Low
CC_PS_018,Portfolio Snapshots Tab,Operations Button,Operation descriptions correct,Verify descriptions show,Dropdown open,"1. Check option descriptions
2. Verify text",Each has description: Safe/Medium/Dangerous,P2,UI,Low
CC_PS_019,Portfolio Snapshots Tab,Operations Button,Dropdown closes on outside click,Verify close behavior,Dropdown open,"1. Click outside dropdown
2. Observe dropdown",Dropdown closes,P2,Functional,Low
CC_PS_020,Portfolio Snapshots Tab,Operations Button,Button disabled during operation,Verify disabled during execution,Operation running,"1. Start an operation
2. Check button state",Button disabled shows 'Processing...',P1,Functional,Medium
CC_OP_001,Snapshot Operations,Generate Missing,Generate Missing shows confirmation,Verify confirmation modal,Admin user,"1. Click Generate Missing
2. Observe modal",Confirmation modal appears with safe operation message,P1,Functional,Low
CC_OP_002,Snapshot Operations,Generate Missing,Confirmation message text,Verify message is correct,Modal open,"1. Read confirmation message
2. Verify text",'Creates snapshots only for missing months. Existing NOT modified. Safe operation.',P2,UI,Low
CC_OP_003,Snapshot Operations,Generate Missing,Confirm executes operation,Verify operation runs,Modal open,"1. Click Confirm button
2. Observe execution",Operation starts processing indicator shows,P1,Functional,High
CC_OP_004,Snapshot Operations,Generate Missing,Cancel closes modal,Verify cancel works,Modal open,"1. Click Cancel button
2. Observe modal",Modal closes no operation executed,P2,Functional,Low
CC_OP_005,Snapshot Operations,Generate Missing,Creates only missing snapshots,Verify behavior creates only new,Customer with missing months,"1. Execute Generate Missing
2. Check database",Only missing months get new snapshots existing unchanged,P1,Functional,High
CC_OP_006,Snapshot Operations,Generate Missing,Result shows new/existing counts,Verify result message,Operation completed,"1. Check execution result
2. Verify format",'X new Y existing' format displayed,P1,Functional,Low
CC_OP_007,Snapshot Operations,Generate Missing,All up-to-date message,Verify no-work message,No missing snapshots,"1. Execute when all exist
2. Check result",'All up-to-date (Y)' message shown,P2,Functional,Low
CC_OP_008,Snapshot Operations,Update All,Update All shows confirmation,Verify confirmation modal,Admin user,"1. Click Update All
2. Observe modal",Confirmation modal appears with medium risk message,P1,Functional,Low
CC_OP_009,Snapshot Operations,Update All,Confirmation message text,Verify message correct,Modal open,"1. Read confirmation message
2. Verify text",'Creates missing AND updates existing with latest values',P2,UI,Low
CC_OP_010,Snapshot Operations,Update All,Creates and updates snapshots,Verify behavior creates and updates,Mix of missing and existing,"1. Execute Update All
2. Check database",Missing created existing recalculated,P1,Functional,High
CC_OP_011,Snapshot Operations,Update All,Result shows C/U counts,Verify result format,Operation completed,"1. Check execution result
2. Verify format",'XC / YU' (X Created Y Updated) format,P1,Functional,Low
CC_OP_012,Snapshot Operations,Update All,Takes longer than Generate Missing,Verify reasonable duration,Large dataset,"1. Execute Update All
2. Measure time",Takes longer due to update calculations,P2,Performance,Low
CC_OP_013,Snapshot Operations,Regenerate All,Regenerate All shows warning modal,Verify warning modal,Admin user,"1. Click Regenerate All
2. Observe modal",Warning modal with ⚠️ icon appears,P1,Functional,Medium
CC_OP_014,Snapshot Operations,Regenerate All,Warning message text,Verify warning content,Modal open,"1. Read warning message
2. Verify text",'⚠️ WARNING: DELETE all existing snapshots and recreate from scratch',P1,UI,Low
CC_OP_015,Snapshot Operations,Regenerate All,Confirm button orange/yellow,Verify button color,Modal open,"1. Check Confirm button color
2. Verify styling",Button is orange (#F59E0B) not green,P2,UI,Low
CC_OP_016,Snapshot Operations,Regenerate All,Deletes then creates,Verify operation behavior,Existing snapshots,"1. Execute Regenerate All
2. Check database sequence",All deleted first then fresh snapshots created,P1,Functional,High
CC_OP_017,Snapshot Operations,Regenerate All,Result shows D→C format,Verify result message,Operation completed,"1. Check execution result
2. Verify format",'XD → YC' (X Deleted Y Created) format,P1,Functional,Low
CC_OP_018,Snapshot Operations,Regenerate All,Significant execution time,Verify duration,Large dataset,"1. Execute Regenerate All
2. Measure time",Takes 5-10 minutes for large dataset,P2,Performance,Medium
CC_OP_019,Snapshot Operations,Drop All,Drop All shows danger modal,Verify danger modal,Admin user,"1. Click Drop All
2. Observe modal",Danger modal with 🚨 icon appears,P1,Functional,High
CC_OP_020,Snapshot Operations,Drop All,Danger message text,Verify danger content,Modal open,"1. Read danger message
2. Verify text",'🚨 DANGER: Permanently DELETE all snapshots. Cannot be undone!',P1,UI,Low
CC_OP_021,Snapshot Operations,Drop All,Confirm button red,Verify button color,Modal open,"1. Check Confirm button color
2. Verify styling",Button is red (#EF4444),P1,UI,Low
CC_OP_022,Snapshot Operations,Drop All,Permanently deletes all,Verify deletion,Existing snapshots,"1. Execute Drop All
2. Check database",All snapshots permanently deleted,P1,Functional,High
CC_OP_023,Snapshot Operations,Drop All,Result shows deleted count,Verify result message,Operation completed,"1. Check execution result
2. Verify format",'X snapshots deleted' message,P1,Functional,Low
CC_OP_024,Snapshot Operations,Drop All,No snapshots found warning,Verify empty case,No snapshots exist,"1. Execute Drop All when empty
2. Check result",'No snapshots found' warning message,P2,Functional,Low
CC_OP_025,Snapshot Operations,All Operations,Execution tracked in history,Verify history entry,Any operation completed,"1. Execute any operation
2. Check execution history",New entry appears in history table,P1,Functional,Low
CC_OP_026,Snapshot Operations,All Operations,Non-admin cannot execute,Verify admin restriction,Non-admin user,"1. Login as regular user
2. Try to execute operation",Operation blocked or button disabled,P1,Security,High
CC_EH_001,Execution History,Table,Display execution history table,Verify table renders,Executions exist,"1. Scroll to Execution History
2. Observe table",Table with execution rows displayed,P1,Functional,Low
CC_EH_002,Execution History,Table,All columns present,Verify all columns display,Executions exist,"1. Check table headers
2. Count columns",9 columns: Date/Time Operation Status Result Trigger Customers Snapshots Duration Retry,P1,Functional,Low
CC_EH_003,Execution History,Columns,Date/Time formatted correctly,Verify date format,Executions exist,"1. Check Date/Time column
2. Verify format",'Nov 26 2025 2:30 PM' format,P2,Functional,Low
CC_EH_004,Execution History,Columns,Operation shows icon and label,Verify operation display,Various operations,"1. Check Operation column
2. Verify display",Icon + label (📸 Snapshot 🗑️ Drop All etc.),P2,UI,Low
CC_EH_005,Execution History,Columns,Status badge colors,Verify status badge styling,Various statuses,"1. Check Status column
2. Verify colors",🟢 Success 🔴 Failed 🔵 Running 🟡 Retrying,P2,UI,Low
CC_EH_006,Execution History,Columns,Success status badge,Verify success display,Successful execution,"1. Find successful execution
2. Check status",Green badge with checkmark icon,P2,UI,Low
CC_EH_007,Execution History,Columns,Failed status badge,Verify failed display,Failed execution,"1. Find failed execution
2. Check status",Red badge with X icon,P2,UI,Low
CC_EH_008,Execution History,Columns,Running status badge,Verify running display,Running execution,"1. Find running execution
2. Check status",Blue badge with spinner icon,P2,UI,Low
CC_EH_009,Execution History,Columns,Retrying status badge,Verify retrying display,Retrying execution,"1. Find retrying execution
2. Check status",Orange badge indicating retry,P2,UI,Low
CC_EH_010,Execution History,Columns,Result message accurate,Verify result messages,Various operations,"1. Check Result column for different ops
2. Verify accuracy",Messages match operation type and counts,P1,Functional,Low
CC_EH_011,Execution History,Columns,Trigger shows Manual/Scheduled,Verify trigger display,Mixed triggers,"1. Check Trigger column
2. Verify icons",👤 Manual or ⏰ Scheduled,P2,UI,Low
CC_EH_012,Execution History,Columns,Customers count with failures,Verify customer counts,Execution with failures,"1. Check Customers column
2. Verify format",Total count (failures in red),P1,Functional,Low
CC_EH_013,Execution History,Columns,Snapshots C/U breakdown,Verify snapshot counts,Update operation,"1. Check Snapshots column
2. Verify format",Created/Updated breakdown displayed,P1,Functional,Low
CC_EH_014,Execution History,Columns,Duration formatted,Verify duration format,Executions exist,"1. Check Duration column
2. Verify format",'2m 30s' human-readable format,P2,Functional,Low
CC_EH_015,Execution History,Columns,Retry attempt shows,Verify retry column,Retried execution,"1. Check Retry column
2. Verify value",Shows attempt number or '-' if first,P2,Functional,Low
CC_EH_016,Execution History,Pagination,25 results per page,Verify page size,More than 25 executions,"1. Count rows on page
2. Verify count",25 rows maximum per page,P2,Functional,Low
CC_EH_017,Execution History,Pagination,Page indicator display,Verify pagination info,Multiple pages,"1. Check pagination area
2. Verify display",'Page X of Y' indicator,P2,Functional,Low
