TC_ID,Section,Sub_Section,Test_Case_Title,Description,Pre_Conditions,Test_Steps,Expected_Result,Priority,Test_Type,Multi_Tenant_Test,Environment
CV_MET_006,Metrics Bar,Profit/Loss,Display loss in red,Verify negative returns shows in red,Customer with negative returns,"1. Navigate to customer with losses
2. Check Profit/Loss card",Loss value displayed in red color with - sign,P1,Functional,Yes,Both
CV_MET_007,Metrics Bar,Today Change,Display today's change with arrow,Verify today's change shows with direction arrow,Customer with portfolio and today's data,"1. Navigate to CustomerView
2. Check Today's Change card",Today's change value with up/down arrow based on direction,P1,Functional,Yes,Both
CV_MET_008,Metrics Bar,Today Change,Green arrow for positive change,Verify up arrow in green for positive daily change,Positive market movement,"1. Navigate to customer
2. Check Today's Change card when market is up",Green up arrow displayed,P2,UI,Yes,Both
CV_MET_009,Metrics Bar,Today Change,Red arrow for negative change,Verify down arrow in red for negative daily change,Negative market movement,"1. Navigate to customer
2. Check Today's Change card when market is down",Red down arrow displayed,P2,UI,Yes,Both
CV_MET_010,Metrics Bar,Overall Return,Display return percentage,Verify overall return percentage displays correctly,Customer with transactions and current value,"1. Navigate to CustomerView
2. Check Overall Return card",Return percentage displayed with % symbol,P1,Functional,Yes,Both
CV_MET_011,Metrics Bar,Overall Return,Return percentage color - positive,Verify positive return shows in green,Customer with positive returns,"1. Navigate to customer with >0% return
2. Check Overall Return card",Percentage displayed in green,P2,UI,Yes,Both
CV_MET_012,Metrics Bar,Overall Return,Return percentage color - negative,Verify negative return shows in red,Customer with negative returns,"1. Navigate to customer with <0% return
2. Check Overall Return card",Percentage displayed in red,P2,UI,Yes,Both
CV_MET_013,Metrics Bar,Family View,Display Family Networth title,Verify title changes to Family Networth in family view,Customer in family view mode,"1. Switch to Family view
2. Check first metric card title",Title shows 'Family Networth' instead of 'Total Portfolio',P1,Functional,Yes,Both
CV_MET_014,Metrics Bar,Family View,Display family icon,Verify Users icon appears in family view,Customer in family view mode,"1. Switch to Family view
2. Check first metric card icon",Users icon displayed instead of Wallet icon,P2,UI,Yes,Both
CV_MET_015,Metrics Bar,Family View,Display asset types count,Verify asset types count shows in family view,Family with multiple asset types,"1. Switch to Family view
2. Check first metric card subtitle",Shows 'Across X asset types' text,P2,Functional,Yes,Both
CV_MET_016,Metrics Bar,Loading,Display loading skeleton,Verify skeleton shows while data loads,Slow network or fresh page load,"1. Navigate to CustomerView
2. Observe metrics bar during load",Skeleton/shimmer effect displays until data loads,P2,UI,No,Both
CV_MET_017,Metrics Bar,Zero Values,Handle zero portfolio value,Verify zero value displays correctly,Customer with no portfolio,"1. Navigate to customer with no holdings
2. Check metric cards",Shows ₹0 or appropriate empty state message,P2,Functional,Yes,Both
CV_TAB_001,Tab Navigation,Layout,Display all 6 tabs,Verify all tabs are visible in navigation,Customer exists,"1. Navigate to CustomerView
2. Observe tab navigation",6 tabs visible: Portfolio Overview Portfolio Snapshots Goals Management Asset Types Jobs To Do Transactions,P1,Functional,No,Both
CV_TAB_002,Tab Navigation,Icons,Tabs display correct icons,Verify each tab has correct icon,On CustomerView page,"1. Navigate to CustomerView
2. Check each tab icon",BarChart3 TrendingUp Target Package CheckSquare DollarSign icons match tabs,P2,UI,No,Both
CV_TAB_003,Tab Navigation,Default Tab,Overview tab selected by default,Verify Overview tab is active on page load,Fresh navigation to CustomerView,"1. Navigate to CustomerView without tab parameter
2. Check active tab",Overview tab (Portfolio Overview) is active/highlighted,P1,Functional,No,Both
CV_TAB_004,Tab Navigation,URL Param,Tab syncs with URL parameter,Verify tab changes when URL has tab param,On CustomerView page,"1. Navigate to CustomerView?tab=goals
2. Check active tab",Goals Management tab is active,P1,Functional,No,Both
CV_TAB_005,Tab Navigation,Click Navigation,Tab click updates content,Verify clicking tab updates content area,On CustomerView page,"1. Click on 'Transactions' tab
2. Observe content area",Content changes to transactions table,P1,Functional,No,Both
CV_TAB_006,Tab Navigation,URL Update,Tab click updates URL,Verify URL updates when tab is clicked,On CustomerView page,"1. Click on 'Goals Management' tab
2. Check URL",URL updates to include ?tab=goals,P1,Functional,No,Both
CV_TAB_007,Tab Navigation,Family View,Only Overview tab in family view,Verify other tabs hidden in family view,Customer on family view,"1. Switch to Family view
2. Check visible tabs",Only 'Portfolio Overview' tab visible; other 5 tabs hidden,P1,Functional,Yes,Both
CV_TAB_008,Tab Navigation,Active Styling,Active tab has distinct styling,Verify active tab is visually distinguished,On CustomerView page,"1. Click different tabs
2. Observe styling",Active tab has different background/border color,P2,UI,No,Both
CV_OVW_001,Overview Tab,Networth Chart,Display networth projection chart,Verify networth projection chart renders,Customer with portfolio data,"1. Navigate to Overview tab
2. Observe main chart area",Networth projection chart displays with line graph,P1,Functional,Yes,Both
CV_OVW_002,Overview Tab,Networth Chart,Chart shows historical data,Verify chart includes historical networth data,Customer with portfolio history,"1. Navigate to Overview tab
2. Check chart data points",Historical networth values displayed as line,P1,Functional,Yes,Both
CV_OVW_003,Overview Tab,Networth Chart,Chart shows projected values,Verify chart includes projected future values,Customer with goals/projections,"1. Navigate to Overview tab
2. Check projected area of chart",Projected networth displayed (typically dashed or different style),P1,Functional,Yes,Both
CV_OVW_004,Overview Tab,Networth Chart,Goal markers display,Verify goal target dates and amounts marked on chart,Customer with goals,"1. Navigate to Overview tab with goals
2. Check chart markers",Goal markers visible at target dates with amounts,P1,Functional,Yes,Both
CV_OVW_005,Overview Tab,Networth Chart,Withdrawal markers display,Verify planned withdrawals marked on chart,Customer with planned withdrawals,"1. Navigate to Overview tab with withdrawals
2. Check chart markers",Withdrawal markers visible at planned dates,P2,Functional,Yes,Both
CV_OVW_006,Overview Tab,Networth Chart,Asset type selector,Verify asset type filter works on chart,Customer with multiple asset types,"1. Navigate to Overview tab
2. Use asset type selector
3. Observe chart update",Chart filters to show selected asset type only,P2,Functional,Yes,Both
CV_OVW_007,Overview Tab,Networth Chart,Assumption rate slider,Verify assumption rate slider affects projections,Customer with projections,"1. Navigate to Overview tab
2. Adjust assumption rate slider
3. Observe projected values",Projected values update based on new assumption rate (default 8%),P2,Functional,Yes,Both
CV_OVW_008,Overview Tab,Networth Chart,Timeframe selector,Verify timeframe buttons filter chart data,Customer with history,"1. Navigate to Overview tab
2. Click different timeframes (1M 3M 6M 1Y 24M)",Chart updates to show selected timeframe data,P1,Functional,Yes,Both
CV_OVW_009,Overview Tab,Networth Chart,Chart tooltip on hover,Verify hovering shows data tooltip,Customer with chart data,"1. Navigate to Overview tab
2. Hover over chart data points",Tooltip shows date and value for hovered point,P2,UI,No,Both
CV_OVW_010,Overview Tab,Networth Chart,Chart responsive to window resize,Verify chart resizes with window,On Overview tab,"1. Resize browser window
2. Observe chart",Chart resizes proportionally without distortion,P2,UI,No,Both
CV_OVW_011,Overview Tab,Performance Chart,Display performance sparkline chart,Verify portfolio performance chart renders,Customer with performance data,"1. Navigate to Overview tab
2. Observe left column chart area",Performance sparkline/area chart displayed (height 300px),P1,Functional,Yes,Both
CV_OVW_012,Overview Tab,Performance Chart,MoM badge display,Verify Month-over-Month change badge shows,Customer with 2+ months data,"1. Navigate to Overview tab
2. Check top-right of performance chart",MoM badge shows percentage change with color coding,P1,Functional,Yes,Both
CV_OVW_013,Overview Tab,Performance Chart,MoM positive styling,Verify positive MoM shows green,Positive month-over-month change,"1. Navigate to customer with positive MoM
2. Check MoM badge",Badge shows green background with + percentage,P2,UI,Yes,Both
CV_OVW_014,Overview Tab,Performance Chart,MoM negative styling,Verify negative MoM shows red,Negative month-over-month change,"1. Navigate to customer with negative MoM
2. Check MoM badge",Badge shows red background with - percentage,P2,UI,Yes,Both
CV_OVW_015,Overview Tab,Performance Chart,Index comparison toggle - show,Verify index comparison data can be shown,Customer with performance data,"1. Navigate to Overview tab
2. Click 'Show Index Comparison' toggle",Market index line appears on chart (e.g. Sensex),P1,Functional,Yes,Both
CV_OVW_016,Overview Tab,Performance Chart,Index comparison toggle - hide,Verify index comparison data can be hidden,Index comparison currently shown,"1. Click 'Hide Index Comparison' toggle
2. Observe chart",Market index line disappears from chart,P1,Functional,Yes,Both
CV_OVW_017,Overview Tab,Performance Chart,Fullscreen button,Verify fullscreen mode works for chart,On Overview tab,"1. Click fullscreen button on performance chart
2. Observe chart",Chart expands to fullscreen mode,P2,Functional,No,Both
CV_OVW_018,Overview Tab,Performance Chart,Exit fullscreen,Verify can exit fullscreen mode,Chart in fullscreen mode,"1. Press Escape or click exit button
2. Observe chart",Chart returns to normal size,P2,Functional,No,Both
CV_OVW_019,Overview Tab,Performance Chart,Export to PNG button,Verify chart can be exported as PNG,On Overview tab,"1. Click Export button on chart
2. Check download",PNG file downloads with chart image,P2,Functional,No,Both
CV_OVW_020,Overview Tab,Performance Chart,Chart data point count,Verify chart shows correct number of data points,Customer with varied history,"1. Navigate to Overview tab
2. Check chart detail",Chart shows data point count matching timeframe,P3,Functional,Yes,Both
CV_OVW_021,Overview Tab,Fund Performance Table,Display fund-wise table when holdings exist,Verify fund performance table appears,Customer with holdings,"1. Navigate to Overview tab
2. Scroll to fund-wise section",Table displays with all holdings,P1,Functional,Yes,Both
CV_OVW_022,Overview Tab,Fund Performance Table,Table columns correct,Verify all columns present in fund table,Customer with holdings,"1. Navigate to Overview tab
2. Check fund table columns",Columns: Fund Name Invested Amount Current Value Returns Allocation %,P1,Functional,Yes,Both
CV_OVW_023,Overview Tab,Fund Performance Table,Fund name with scheme code,Verify fund name shows scheme code,Customer with holdings,"1. Check fund name column
2. Observe scheme code",Fund name displays with scheme code below/beside,P2,Functional,Yes,Both
CV_OVW_024,Overview Tab,Fund Performance Table,Invested amount format,Verify invested amount in ₹ format,Customer with holdings,"1. Check Invested Amount column
2. Observe formatting",Values display as ₹X.XX L or ₹X.XX Cr,P2,Functional,Yes,Both
CV_OVW_025,Overview Tab,Fund Performance Table,Current value format,Verify current value in ₹ format,Customer with holdings,"1. Check Current Value column
2. Observe formatting",Values display as ₹X.XX L or ₹X.XX Cr,P2,Functional,Yes,Both
CV_OVW_026,Overview Tab,Fund Performance Table,Returns - percentage and absolute,Verify returns shows both % and ₹ value,Customer with holdings,"1. Check Returns column
2. Observe format",Shows both percentage (XX.XX%) and absolute value (₹X.XX),P1,Functional,Yes,Both
CV_OVW_027,Overview Tab,Fund Performance Table,Returns color - positive green,Verify positive returns in green,Holdings with positive returns,"1. Check Returns column for profitable holdings
2. Observe color",Positive returns displayed in green,P2,UI,Yes,Both
CV_OVW_028,Overview Tab,Fund Performance Table,Returns color - negative red,Verify negative returns in red,Holdings with negative returns,"1. Check Returns column for loss holdings
2. Observe color",Negative returns displayed in red,P2,UI,Yes,Both
CV_OVW_029,Overview Tab,Fund Performance Table,Allocation percentage total 100%,Verify allocation percentages sum to 100%,Customer with holdings,"1. Check all Allocation % values
2. Sum them",Total allocation should be 100% (or close with rounding),P2,Functional,Yes,Both
CV_OVW_030,Overview Tab,Fund Performance Table,Hide table when no holdings,Verify table hidden when no holdings,Customer without holdings,"1. Navigate to customer without holdings
2. Check fund-wise section",Table not displayed or shows empty state,P2,Functional,Yes,Both
CV_OVW_031,Overview Tab,Asset Allocation Chart,Display donut chart,Verify asset allocation donut chart renders,Customer with diversified portfolio,"1. Navigate to Overview tab
2. Check right sidebar area",Donut chart displays (240px size),P1,Functional,Yes,Both
CV_OVW_032,Overview Tab,Asset Allocation Chart,Chart segments by category,Verify donut shows segments per category,Customer with multiple categories,"1. Check donut chart segments
2. Compare with portfolio",Each category has distinct colored segment,P1,Functional,Yes,Both
CV_OVW_033,Overview Tab,Asset Allocation Chart,Chart legend display,Verify legend shows categories with values,Customer with portfolio,"1. Check below/beside donut chart
2. Observe legend",Legend shows category names percentages and colors,P2,Functional,Yes,Both
CV_OVW_034,Overview Tab,Asset Allocation Chart,Chart segment percentages,Verify segment sizes match allocation %,Customer with portfolio,"1. Check each segment
2. Compare with allocation data",Segment sizes proportional to allocation percentages,P2,Functional,Yes,Both
CV_OVW_035,Overview Tab,Asset Allocation Chart,Chart tooltip on hover,Verify hovering segment shows tooltip,Customer with portfolio,"1. Hover over donut segment
2. Observe tooltip",Tooltip shows category name and percentage/value,P2,UI,No,Both
CV_OVW_036,Overview Tab,Goal Allocation Summary,Display portfolio goal allocation card,Verify goal allocation summary card displays,Customer with goals,"1. Navigate to Overview tab
2. Check summary cards area",Goal allocation summary card visible,P2,Functional,Yes,Both
CV_OVW_037,Overview Tab,Goal Allocation Summary,Show total portfolio value,Verify total portfolio value in summary,Customer with goals,"1. Check goal allocation summary
2. Find total value",Total portfolio value displayed,P2,Functional,Yes,Both
CV_OVW_038,Overview Tab,Goal Allocation Summary,Show allocated value,Verify allocated value shows correctly,Customer with goal allocations,"1. Check goal allocation summary
2. Find allocated value",Allocated value displayed,P2,Functional,Yes,Both
CV_OVW_039,Overview Tab,Goal Allocation Summary,Show allocated percentage,Verify allocated percentage calculation,Customer with goal allocations,"1. Check goal allocation summary
2. Verify percentage",Percentage = (Allocated/Total) * 100,P2,Functional,Yes,Both
CV_OVW_040,Overview Tab,Goal Allocation Summary,Show goals count,Verify number of goals displayed,Customer with goals,"1. Check goal allocation summary
2. Find goals count",Count matches actual goals for customer,P2,Functional,Yes,Both
CV_OVW_041,Overview Tab,Holdings Grid,Display holdings grid,Verify holdings grid renders with scheme cards,Customer with holdings,"1. Navigate to Overview tab
2. Scroll to holdings section",Holdings grid displays with SchemeCard components,P1,Functional,Yes,Both
CV_OVW_042,Overview Tab,Holdings Grid,Grid responsive columns,Verify grid auto-fits columns (min 320px),Customer with holdings,"1. Check holdings grid
2. Resize window",Grid adjusts columns based on viewport width,P2,UI,No,Both
CV_OVW_043,Overview Tab,Holdings Grid,Holdings grid scrollable,Verify grid scrolls when many holdings,Customer with >10 holdings,"1. Check holdings section
2. Scroll within grid",Grid scrolls vertically (max-height 600px),P2,UI,Yes,Both
CV_OVW_044,Overview Tab,Holdings Grid,Scheme card click action,Verify clicking scheme card shows details,Customer with holdings,"1. Click on a SchemeCard
2. Observe action",Scheme details modal/page opens or expands,P2,Functional,Yes,Both
CV_OVW_045,Overview Tab,Empty State,Display empty state when no portfolio,Verify empty state message shows,Customer without portfolio,"1. Navigate to customer without transactions
2. Check Overview tab",Shows 'Portfolio Data Not Available' message,P1,Functional,Yes,Both
CV_OVW_046,Overview Tab,Empty State,Import transactions button in empty state,Verify import button shows in empty state,Customer without portfolio,"1. Check empty state message
2. Find action button",'Import Transactions' button visible and clickable,P1,Functional,Yes,Both
CV_OVW_047,Overview Tab,Loading State,Display loading spinner,Verify spinner shows while data loads,Fresh page load,"1. Navigate to CustomerView
2. Observe Overview tab during load",Loading spinner or skeleton displays,P2,UI,No,Both
CV_PORT_001,Portfolio Tab,Snapshots Table,Display snapshots table,Verify portfolio snapshots table renders,Customer with snapshot data,"1. Click Portfolio Snapshots tab
2. Observe table",Expandable table with schemes and months displays,P1,Functional,Yes,Both
CV_PORT_002,Portfolio Tab,Snapshots Table,Display 12 months columns,Verify table shows 12 months of data,Customer with 12+ months history,"1. Check table columns
2. Count month columns",12 month columns displayed (recent first),P1,Functional,Yes,Both
CV_PORT_003,Portfolio Tab,Snapshots Table,Month column format,Verify month columns formatted correctly,Customer with snapshot data,"1. Check month column headers
2. Observe format",Format: Nov'24 Oct'24 Sep'24 etc.,P2,Functional,Yes,Both
CV_PORT_004,Portfolio Tab,Snapshots Table,Schemes listed alphabetically,Verify schemes sorted alphabetically,Customer with multiple schemes,"1. Check scheme rows
2. Verify order",Schemes listed in alphabetical order by name,P2,Functional,Yes,Both
CV_PORT_005,Portfolio Tab,Snapshots Table,Scheme row expandable,Verify scheme rows can expand,Customer with snapshot data,"1. Click on scheme row
2. Observe expansion",Row expands to show Units NAV Market Value Performance sections,P1,Functional,Yes,Both
CV_PORT_006,Portfolio Tab,Snapshots Table,Units section display,Verify Units section shows correctly,Expanded scheme row,"1. Expand scheme row
2. Check Units section",Units displayed for each month with 3 decimal places,P1,Functional,Yes,Both
CV_PORT_007,Portfolio Tab,Snapshots Table,NAV section display,Verify NAV section shows correctly,Expanded scheme row,"1. Expand scheme row
2. Check NAV section",NAV displayed as ₹XX.XX format for each month,P1,Functional,Yes,Both
CV_PORT_008,Portfolio Tab,Snapshots Table,Market Value section display,Verify Market Value section shows correctly,Expanded scheme row,"1. Expand scheme row
2. Check Market Value section",Market Value displayed as ₹XL format for each month,P1,Functional,Yes,Both
CV_PORT_009,Portfolio Tab,Snapshots Table,Performance section display,Verify Performance section shows correctly,Expanded scheme row,"1. Expand scheme row
2. Check Performance section",Performance displayed as +/-XX.XX% format,P1,Functional,Yes,Both
CV_PORT_010,Portfolio Tab,Snapshots Table,Expand All button,Verify Expand All button works,On Portfolio tab,"1. Click 'Expand All' button
2. Observe all rows",All scheme rows expand simultaneously,P2,Functional,Yes,Both
CV_PORT_011,Portfolio Tab,Snapshots Table,Collapse All button,Verify Collapse All button works,All rows expanded,"1. Click 'Collapse All' button
2. Observe all rows",All scheme rows collapse simultaneously,P2,Functional,Yes,Both
CV_PORT_012,Portfolio Tab,Snapshots Table,Chart modal per scheme,Verify clicking scheme opens chart modal,On Portfolio tab,"1. Click scheme name
2. Observe modal",Chart modal opens showing scheme historical performance,P2,Functional,Yes,Both
CV_PORT_013,Portfolio Tab,Gap Alert,Display bookmark gap alert,Verify gap alert shows when applicable,Customer with bookmark gaps,"1. Navigate to Portfolio tab
2. Check for gap alert",Gap alert banner/card displays with affected schemes,P2,Functional,Yes,Both
CV_PORT_014,Portfolio Tab,Empty State,No snapshot data message,Verify message shows when no snapshots,Customer without snapshots,"1. Navigate to Portfolio tab
2. Check display",Appropriate message shown when no snapshot data available,P2,Functional,Yes,Both
CV_PORT_015,Portfolio Tab,Loading,Loading state during fetch,Verify loading indicator during data fetch,Fresh tab load,"1. Click Portfolio tab
2. Observe during load",Loading spinner or skeleton displays,P2,UI,No,Both
CV_GOAL_001,Goals Tab,Layout,Two-column layout,Verify goals tab has 2-column layout,On Goals tab,"1. Click Goals Management tab
2. Observe layout",Left column (main content 1fr) and right column (sidebar 420px),P2,UI,No,Both
CV_GOAL_002,Goals Tab,Summary Header,Goals summary in header,Verify header shows goals summary,Customer with goals,"1. Navigate to Goals tab
2. Check header area",Shows 'X active X on track X behind' summary,P1,Functional,Yes,Both
CV_GOAL_003,Goals Tab,Goal Cards,Display goal cards,Verify goal cards render for each goal,Customer with goals,"1. Navigate to Goals tab
2. Check left column",Goal card displayed for each active goal,P1,Functional,Yes,Both
CV_GOAL_004,Goals Tab,Goal Cards,Goal card - type icon,Verify goal type icon displays,Customer with goals,"1. Check goal card
2. Find type icon",Appropriate icon for goal type (retirement education etc.),P2,UI,Yes,Both
CV_GOAL_005,Goals Tab,Goal Cards,Goal card - title,Verify goal title displays,Customer with goals,"1. Check goal card
2. Find title",Goal name/title prominently displayed,P1,Functional,Yes,Both
CV_GOAL_006,Goals Tab,Goal Cards,Goal card - status badge On Track,Verify On Track badge styling,Goal that is on track,"1. Find on-track goal card
2. Check status badge",Green 'On Track' badge displayed,P1,Functional,Yes,Both
CV_GOAL_007,Goals Tab,Goal Cards,Goal card - status badge Behind,Verify Behind badge styling,Goal that is behind,"1. Find behind goal card
2. Check status badge",Red/Orange 'Behind' badge displayed,P1,Functional,Yes,Both
CV_GOAL_008,Goals Tab,Goal Cards,Goal card - status badge Ahead,Verify Ahead badge styling,Goal that is ahead,"1. Find ahead goal card
2. Check status badge",Green/Blue 'Ahead' badge displayed,P1,Functional,Yes,Both
CV_GOAL_009,Goals Tab,Goal Cards,Goal card - priority badge,Verify priority badge displays,Goal with priority set,"1. Check goal card
2. Find priority indicator",Priority badge (High/Medium/Low) with appropriate color,P2,Functional,Yes,Both
CV_GOAL_010,Goals Tab,Goal Cards,Goal card - asset allocation pie,Verify mini pie chart in card,Goal with allocations,"1. Check goal card center area
2. Find pie chart",80x80px donut chart showing asset allocation,P2,Functional,Yes,Both
CV_GOAL_011,Goals Tab,Goal Cards,Goal card - timeline slider,Verify timeline shows date range,Goal with target date,"1. Check goal card right side
2. Find timeline",Timeline slider showing current position vs target date,P2,Functional,Yes,Both
CV_GOAL_012,Goals Tab,Goal Cards,Goal card - progress bar,Verify progress bar displays,Goal with progress data,"1. Check goal card full width
2. Find progress bar",Progress bar showing % completion toward target,P1,Functional,Yes,Both
CV_GOAL_013,Goals Tab,Goal Cards,Goal card - current vs target values,Verify values display,Goal with calculations,"1. Check goal card
2. Find current/target values",Current value and target amount both displayed in ₹ format,P1,Functional,Yes,Both
CV_GOAL_014,Goals Tab,Goal Cards,Goal card - risk level,Verify risk level displays,Goal with risk assessment,"1. Check goal card
2. Find risk level",Risk level indicator (Low/Medium/High) displayed,P2,Functional,Yes,Both
CV_GOAL_015,Goals Tab,Goal Cards,Goal card - monthly SIP required,Verify SIP amount displays,Goal needing contributions,"1. Check goal card
2. Find SIP section",Monthly SIP required amount in ₹ format,P1,Functional,Yes,Both
CV_GOAL_016,Goals Tab,Goal Cards,Watchlist toggle - add,Verify can add goal to watchlist,Goal not in watchlist,"1. Find star icon on goal card
2. Click to add",Star fills and goal added to watchlist (toast confirmation),P1,Functional,Yes,Both
